,loc_index,Province/State,Country/Region,Lat,Long,date,people,state
16809,136,"New York City, NY",US,40.7128,-74.006,3/2/20,1,C
16850,136,"New York City, NY",US,40.7128,-74.006,3/2/20,0,R
16891,137,"Placer County, CA",US,39.0916,-120.8039,3/2/20,0,D
16932,137,"Placer County, CA",US,39.0916,-120.8039,3/2/20,1,C
16973,137,"Placer County, CA",US,39.0916,-120.8039,3/2/20,0,R
17014,138,"San Mateo, CA",US,37.563,-122.3255,3/2/20,0,D
17055,138,"San Mateo, CA",US,37.563,-122.3255,3/2/20,1,C
17096,138,"San Mateo, CA",US,37.563,-122.3255,3/2/20,0,R
17137,139,"Sarasota, FL",US,27.3364,-82.5307,3/2/20,0,D
17178,139,"Sarasota, FL",US,27.3364,-82.5307,3/2/20,1,C
17219,139,"Sarasota, FL",US,27.3364,-82.5307,3/2/20,0,R
17260,140,"Sonoma County, CA",US,38.578,-122.9888,3/2/20,0,D
17301,140,"Sonoma County, CA",US,38.578,-122.9888,3/2/20,1,C
17342,140,"Sonoma County, CA",US,38.578,-122.9888,3/2/20,0,R
17383,141,"Umatilla, OR",US,45.775,-118.7606,3/2/20,0,D
17424,141,"Umatilla, OR",US,45.775,-118.7606,3/2/20,1,C
17465,141,"Umatilla, OR",US,45.775,-118.7606,3/2/20,0,R
